Name	Latitude	Longitude
Aleja Bologne	45.813875	15.869954
Zagrebačka avenija	45.79407	15.96141
Avenija Marina Držića	45.79791	15.99765
Slavonska avenija	45.7963	16.01004
Avenija Dubrava	45.82856	16.07094
Žerjavinec	45.87399	16.16346
Pavučnjak D1	45.75560	15.83269
Obilaznica Kosnica	45.751834	16.0720539
Domovinski most	45.771115200	16.068534900
Ivanja Reka	45.7919458000	16.1270713
Selska	45.8117	15.9419
Zeleni val Mimara	45.8089	15.96871
Slavonska avenija 2	45.795429	15.99090
Pavučnjak D1	45.698	15.76503
Ivanec Bistranski	45.8453	15.71531
Zaprešić	45.84379	15.815429
Zaprešić 2	45.8675	15.80236
Zaprešić 3	45.872150	15.794610
Zaprešić 4	45.86997	15.78800
Feričanci	45.526178	17.96236750
Podravska moslavina	45.5642	18.6649
Cret Bizovački	45.576	18.415
Cret Bizovački 2	45.5732	18.408
Retfala	45.5646	18.64895
Zapadna obilaznica	45.5367	18.561
Podravska moslavina	45.56425	18.66492
Čeminac	45.6877	18.6699
Čeminac 2	45.6750	18.6774
Draganić D1	45.5965	15.59846
Turanj	45.4636	15.56676
Tušilović	45.38672	15.614
Brezova Glava	45.370750	15.60779
Slunj	45.1070	15.58599
Rakovica	44.9961	15.6510
Josipdol	45.214	15.31408
Siča	45.3544	15.4717
Čeglje D1	45.6241	15.6028
Dugopolje	43.5762	16.5416
Dicmo	43.6354	16.5956
Dicmo 2	43.5415	16.4642
Vukovarska	43.51396	16.4710
Solin	43.5512	16.4127
Solin 2	43.5209	16.4834
Solin 3	43.5408	16.4671
Sirobuja	43.50597	16.50815
Dugopolje	43.5447	16.5284
Poljička cesta	43.5082	16.4726
Hraščica	46.3244	16.2940
Ludbreška	46.2992	16.4001
